,Weight Room,Date,time,count
1151,2.0,2015-09-09,07:30am ,51.0
1152,2.0,2015-09-10,07:30am ,60.0
1153,2.0,2015-09-11,07:30am ,36.0
1154,2.0,2015-09-12,07:30am ,
1155,2.0,2015-09-13,07:30am ,
1156,2.0,2015-09-14,07:30am ,64.0
1157,2.0,2015-09-15,07:30am ,62.0
1158,2.0,2015-09-16,07:30am ,47.0
1159,2.0,2015-09-17,07:30am ,49.0
1160,2.0,2015-09-18,07:30am ,31.0
1161,2.0,2015-09-19,07:30am ,
1162,2.0,2015-09-20,07:30am ,
1163,2.0,2015-09-21,07:30am ,72.0
1164,2.0,2015-09-22,07:30am ,51.0
1165,2.0,2015-09-23,07:30am ,36.0
1166,2.0,2015-09-24,07:30am ,38.0
1167,2.0,2015-09-25,07:30am ,27.0
1168,2.0,2015-09-26,07:30am ,
1169,2.0,2015-09-27,07:30am ,
1170,2.0,2015-09-28,07:30am ,50.0
1171,2.0,2015-09-29,07:30am ,34.0
1172,2.0,2015-09-30,07:30am ,45.0
1173,1.0,2015-08-04,07:30am ,21.0
1174,1.0,2015-08-05,07:30am ,16.0
1175,1.0,2015-08-06,07:30am ,33.0
1176,1.0,2015-08-07,07:30am ,19.0
1177,1.0,2015-08-08,07:30am ,
1178,1.0,2015-08-09,07:30am ,
1179,1.0,2015-08-10,07:30am ,23.0
1180,1.0,2015-08-11,07:30am ,22.0
1181,1.0,2015-08-12,07:30am ,23.0
1182,1.0,2015-08-13,07:30am ,25.0
1183,1.0,2015-08-14,07:30am ,15.0
1184,1.0,2015-08-15,07:30am ,
1185,1.0,2015-08-16,07:30am ,
1186,1.0,2015-08-17,07:30am ,
1187,1.0,2015-08-18,07:30am ,
1188,1.0,2015-08-19,07:30am ,32.0
1189,1.0,2015-08-20,07:30am ,42.0
1190,1.0,2015-08-21,07:30am ,42.0
1191,1.0,2015-08-22,07:30am ,
1192,1.0,2015-08-23,07:30am ,
1193,1.0,2015-08-24,07:30am ,96.0
1194,1.0,2015-08-25,07:30am ,85.0
1195,1.0,2015-08-26,07:30am ,112.0
1196,1.0,2015-08-27,07:30am ,80.0
1197,1.0,2015-08-28,07:30am ,41.0
1198,1.0,2015-08-29,07:30am ,
1199,1.0,2015-08-30,07:30am ,
1200,1.0,2015-08-31,07:30am ,89.0
1201,1.0,2015-09-01,07:30am ,101.0
1202,1.0,2015-09-02,07:30am ,59.0
1203,1.0,2015-09-03,07:30am ,81.0
1204,1.0,2015-09-04,07:30am ,41.0
1205,1.0,2015-09-05,07:30am ,
1206,1.0,2015-09-06,07:30am ,
1207,1.0,2015-09-07,07:30am ,15.0
1208,1.0,2015-09-08,07:30am ,56.0
1209,1.0,2015-09-09,07:30am ,68.0
1210,1.0,2015-09-10,07:30am ,71.0
1211,1.0,2015-09-11,07:30am ,46.0
1212,1.0,2015-09-12,07:30am ,
1213,1.0,2015-09-13,07:30am ,
1214,1.0,2015-09-14,07:30am ,75.0
1215,1.0,2015-09-15,07:30am ,58.0
1216,1.0,2015-09-16,07:30am ,104.0
1217,1.0,2015-09-17,07:30am ,73.0
1218,1.0,2015-09-18,07:30am ,48.0
1219,1.0,2015-09-19,07:30am ,
1220,1.0,2015-09-20,07:30am ,
1221,1.0,2015-09-21,07:30am ,74.0
